sequence_order,day_number,title,item_type,external_url,estimated_minutes
69,69,BS Science A - W18D1,worksheet,,60
70,70,BS Science A - W18D2,worksheet,,60
71,71,BS Science A - W18D3,worksheet,,60
72,72,BS Science A - W18D4,worksheet,,60
73,73,BS Science A - W19D1,worksheet,,60
74,74,BS Science A - W19D2,worksheet,,60
75,75,BS Science A - W19D3,worksheet,,60
76,76,BS Science A - W19D4,worksheet,,60
77,77,BS Science A - W20D1,worksheet,,60
78,78,BS Science A - W20D2,worksheet,,60
79,79,BS Science A - W20D3,worksheet,,60
80,80,BS Science A - W20D4,worksheet,,60
81,81,BS Science A - W21D1,worksheet,,60
82,82,BS Science A - W21D2,worksheet,,60
83,83,BS Science A - W21D3,worksheet,,60
84,84,BS Science A - W21D4,worksheet,,60
85,85,BS Science A - W22D1,worksheet,,60
86,86,BS Science A - W22D2,worksheet,,60
87,87,BS Science A - W22D3,worksheet,,60
88,88,BS Science A - W22D4,worksheet,,60
89,89,BS Science A - W23D1,worksheet,,60
90,90,BS Science A - W23D2,worksheet,,60
91,91,BS Science A - W23D3,worksheet,,60
92,92,BS Science A - W23D4,worksheet,,60
93,93,BS Science A - W24D1,worksheet,,60
94,94,BS Science A - W24D2,worksheet,,60
95,95,BS Science A - W24D3,worksheet,,60
96,96,BS Science A - W24D4,worksheet,,60
97,97,BS Science A - W25D1,worksheet,,60
98,98,BS Science A - W25D2,worksheet,,60
99,99,BS Science A - W25D3,worksheet,,60
100,100,BS Science A - W25D4,worksheet,,60
101,101,BS Science A - W26D1,worksheet,,60
102,102,BS Science A - W26D2,worksheet,,60
103,103,BS Science A - W26D3,worksheet,,60
104,104,BS Science A - W26D4,worksheet,,60
105,105,BS Science A - W27D1,worksheet,,60
106,106,BS Science A - W27D2,worksheet,,60
107,107,BS Science A - W27D3,worksheet,,60
108,108,BS Science A - W27D4,worksheet,,60
109,109,BS Science A - W28D1,worksheet,,60
110,110,BS Science A - W28D2,worksheet,,60
111,111,BS Science A - W28D3,worksheet,,60
112,112,BS Science A - W28D4,worksheet,,60
113,113,BS Science A - W29D1,worksheet,,60
114,114,BS Science A - W29D2,worksheet,,60
115,115,BS Science A - W29D3,worksheet,,60
116,116,BS Science A - W29D4,worksheet,,60
117,117,BS Science A - W30D1,worksheet,,60
118,118,BS Science A - W30D2,worksheet,,60
119,119,BS Science A - W30D3,worksheet,,60
120,120,BS Science A - W30D4,worksheet,,60
121,121,BS Science A - W31D1,worksheet,,60
122,122,BS Science A - W31D2,worksheet,,60
123,123,BS Science A - W31D3,worksheet,,60
124,124,BS Science A - W31D4,worksheet,,60
125,125,BS Science A - W32D1,worksheet,,60
126,126,BS Science A - W32D2,worksheet,,60
127,127,BS Science A - W32D3,worksheet,,60
128,128,BS Science A - W32D4,worksheet,,60
129,129,BS Science A - W33D1,worksheet,,60
130,130,BS Science A - W33D2,worksheet,,60
131,131,BS Science A - W33D3,worksheet,,60
132,132,BS Science A - W33D4,worksheet,,60
133,133,BS Science A - W34D1,worksheet,,60
134,134,BS Science A - W34D2,worksheet,,60
135,135,BS Science A - W34D3,worksheet,,60
136,136,BS Science A - W34D4,worksheet,,60
137,137,BS Science A - W35D1,worksheet,,60
138,138,BS Science A - W35D2,worksheet,,60
139,139,BS Science A - W35D3,worksheet,,60
140,140,BS Science A - W35D4,worksheet,,60
141,141,BS Science A - W36D1,worksheet,,60
142,142,BS Science A - W36D2,worksheet,,60
143,143,BS Science A - W36D3,worksheet,,60
144,144,BS Science A - W36D4,worksheet,,60
